Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
71,1672,3:33.94,John MAYOCK,26 OCT 1970,GBR,6,Bruxelles (BEL),23 AUG 1996,1189,1996,men_1500m
72,1672,3:33.94,Martin KEINO,20 JUN 1972,KEN,7,Stockholm (SWE),07 JUL 1997,1189,1997,men_1500m
73,1672,3:33.94,Graham HOOD,02 APR 1972,CAN,13f1,Zürich (SUI),13 AUG 1997,1189,1997,men_1500m
74,1672,3:33.94,Juan Carlos HIGUERO,03 AUG 1978,ESP,4,"Olympiastadion, Berlin (GER)",06 SEP 2002,1189,2002,men_1500m
75,1672,3:33.94,Collins CHEBOI,25 SEP 1987,KEN,4,Nairobi (KEN),16 JUL 2011,1189,2011,men_1500m
76,1672,3:33.94,Silas KIPLAGAT,20 AUG 1989,KEN,1f1,"Olympiastadion, Stockholm (SWE)",29 JUL 2011,1189,2011,men_1500m
77,1672,3:33.94,Bethwell BIRGEN,06 AUG 1988,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1189,2016,men_1500m
78,1679,3:33.95,Saïd AOUITA,02 NOV 1959,MAR,1,Viareggio (ITA),27 JUL 1983,1189,1983,men_1500m
79,1679,3:33.95,Steve CRABB,30 NOV 1963,GBR,1,Verona (ITA),27 JUL 1988,1189,1988,men_1500m
80,1679,3:33.95,Salah HISSOU,16 JAN 1972,MAR,1,Nürnberg (GER),07 JUN 1996,1189,1996,men_1500m
81,1679,3:33.95,John Kemboi KIBOWEN,21 APR 1969,KEN,2,Nice (FRA),08 JUL 2000,1189,2000,men_1500m
82,1679,3:33.95,Mohamed KHALDI,05 MAR 1975,ALG,7,St-Denis (FRA),06 JUL 2001,1189,2001,men_1500m
83,1679,3:33.95,Robert RONO,16 AUG 1978,KEN,5,Stockholm (SWE),16 JUL 2002,1189,2002,men_1500m
84,1679,3:33.95,Tarek BOUKENSA,19 NOV 1981,ALG,4,Zürich (SUI),18 AUG 2006,1189,2006,men_1500m
85,1679,3:33.95,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,7,"Letzigrund, Zürich (SUI)",29 AUG 2013,1189,2013,men_1500m
86,1679,3:33.95,Bethwell BIRGEN,06 AUG 1988,KEN,4,"FBK Stadium, Hengelo (NED)",11 JUN 2017,1189,2017,men_1500m
87,1679,3:33.95,Timothy CHERUIYOT,20 NOV 1995,KEN,3sf1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1189,2021,men_1500m
88,1689,3:33.96,Noah NGENY,02 NOV 1978,KEN,7,Trikala (GRE),24 JUN 2003,1189,2003,men_1500m
89,1689,3:33.96,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,6,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1189,2010,men_1500m
90,1689,3:33.96,Mekonnen GEBREMEDHIN,11 OCT 1988,ETH,4,"International Stadium, Gateshead (GBR)",10 JUL 2010,1189,2010,men_1500m
91,1689,3:33.96,Thomas LANCASHIRE,02 JUL 1985,GBR,5,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1189,2010,men_1500m
92,1689,3:33.96,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,5,Nairobi (KEN),16 JUL 2011,1189,2011,men_1500m
93,1689,3:33.96,Aman WOTE,18 APR 1984,ETH,7,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1189,2014,men_1500m
94,1689,3:33.96,Elijah Motonei MANANGOI,05 JAN 1993,KEN,1,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1189,2016,men_1500m
95,1689,3:33.96,Jake WIGHTMAN,11 JUL 1994,GBR,12,"Stade Louis II, Monaco (MON)",20 JUL 2018,1189,2018,men_1500m
96,1689,3:33.96,Abel KIPSANG,22 NOV 1996,KEN,1f1,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1189,2021,men_1500m
97,1689,3:33.96,Michał ROZMYS,13 MAR 1995,POL,3,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1189,2021,men_1500m
98,1699,3:33.97,Dieter BAUMANN,09 FEB 1965,GER,1,Leverkusen (GER),20 AUG 1997,1189,1997,men_1500m
99,1699,3:33.97,Isaac VICIOSA,26 DEC 1969,ESP,3,Rieti (ITA),03 SEP 1997,1189,1997,men_1500m
0,1699,3:33.97,John MAYOCK,26 OCT 1970,GBR,3,Nice (FRA),17 JUL 1999,1189,1999,men_1500m
1,1699,3:33.97,Craig MOTTRAM,18 JUN 1980,AUS,5,Zürich (SUI),18 AUG 2006,1189,2006,men_1500m
2,1699,3:33.97,Gideon GATHIMBA,09 MAR 1980,KEN,6,Doha (QAT),08 MAY 2009,1189,2009,men_1500m
3,1699,3:33.97,Collins CHEBOI,25 SEP 1987,KEN,2,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2012,1189,2012,men_1500m
4,1699,3:33.97,William PAULSON,17 NOV 1994,CAN,2f1,"Cougar Athletic Stadium, Azusa, CA (USA)",15 APR 2022,1189,2022,men_1500m
5,1699,3:33.97,William PAULSON,17 NOV 1994,CAN,10,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1189,2022,men_1500m
6,1707,3:33.98,José Manuel ABASCAL,17 MAR 1958,ESP,2,Bruxelles (BEL),05 SEP 1986,1189,1986,men_1500m
7,1707,3:33.98,Noureddine MORCELI,28 FEB 1970,ALG,2,Paris (FRA),25 JUN 1997,1189,1997,men_1500m
8,1707,3:33.98,Noureddine MORCELI,28 FEB 1970,ALG,12,"Stade Louis II, Monaco (MON)",16 AUG 1997,1189,1997,men_1500m
9,1707,3:33.98,Mo FARAH,23 MAR 1983,GBR,10,"Stade Louis II, Monaco (MON)",28 JUL 2009,1189,2009,men_1500m
10,1707,3:33.98,Dawit WOLDE,19 MAY 1991,ETH,4f1,Heusden-Zolder (BEL),16 JUL 2016,1189,2016,men_1500m
11,1712,3:33.99,Steve LACY,17 JAN 1956,USA,4,Oslo (NOR),15 JUL 1980,1189,1980,men_1500m
12,1712,3:33.99,Todd HARBOUR,24 MAR 1959,USA,2,Zürich (SUI),18 AUG 1982,1189,1982,men_1500m
13,1712,3:33.99,John Kemboi KIBOWEN,21 APR 1969,KEN,1,Doha (QAT),07 MAY 1998,1189,1998,men_1500m
14,1712,3:33.99,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,2,Zagreb (CRO),02 JUL 2001,1189,2001,men_1500m
15,1712,3:33.99,Gert-Jan LIEFERS,26 SEP 1978,NED,7,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1189,2003,men_1500m
16,1712,3:33.99,William CHIRCHIR,06 FEB 1979,KEN,8,Heusden-Zolder (BEL),31 JUL 2004,1189,2004,men_1500m
17,1712,3:33.99,Augustine Kiprono CHOGE,21 JAN 1987,KEN,4,Sevilla (ESP),04 JUN 2005,1189,2005,men_1500m
18,1712,3:33.99,Laban ROTICH,20 JAN 1969,KEN,7,Rieti (ITA),28 AUG 2005,1189,2005,men_1500m
19,1712,3:33.99,Deresse MEKONNEN,20 OCT 1987,ETH,1f1,Madrid (ESP),05 JUL 2008,1189,2008,men_1500m
20,1712,3:33.99,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,7,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1189,2010,men_1500m
21,1712,3:33.99,Augustine Kiprono CHOGE,21 JAN 1987,KEN,6,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1189,2010,men_1500m
22,1712,3:33.99,Abdelaati IGUIDER,25 MAR 1987,MAR,1sf2,"Olympic Stadium, London (GBR)",05 AUG 2012,1189,2012,men_1500m
23,1712,3:33.99,Timothy CHERUIYOT,20 NOV 1995,KEN,2,"Olympic Stadium, London (GBR)",13 AUG 2017,1189,2017,men_1500m
24,1712,3:33.99,Ronald KWEMOI,19 SEP 1995,KEN,6,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1189,2019,men_1500m
25,1712,3:33.99,Marcin LEWANDOWSKI,13 JUN 1987,POL,7,"Stade Louis II, Monaco (MON)",14 AUG 2020,1189,2020,men_1500m
26,1712,3:33.99,Jye EDWARDS,06 MAR 1998,AUS,1,"SOPAC, Sydney (AUS)",18 APR 2021,1189,2021,men_1500m
27,1712,3:33.99,Jake HEYWARD,26 APR 1999,GBR,3f1,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1189,2021,men_1500m
28,1712,3:33.99,Abel KIPSANG,22 NOV 1996,KEN,1,"Stade des Grands Pêchers, Montreuil (FRA)",01 JUN 2021,1189,2021,men_1500m
29,1712,3:33.99,Ronald MUSAGALA,16 DEC 1992,UGA,4,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1189,2021,men_1500m
30,1712,3:33.99,Kamar ETIANG,14 OCT 2002,KEN,1,"Stade des Grands Pêchers, Montreuil (FRA)",31 MAY 2023,1189,2023,men_1500m
31,1732,3:34.0h,Jean WADOUX,29 JAN 1942,FRA,1,Colombes (FRA),23 JUL 1970,1188,1970,men_1500m
32,1732,3:34.00,Jens-Peter HEROLD,02 JUN 1965,GDR,2,Rieti (ITA),03 SEP 1989,1188,1989,men_1500m
33,1732,3:34.00,Matthew YATES,04 FEB 1969,GBR,3,Bruxelles (BEL),13 SEP 1991,1188,1991,men_1500m
34,1732,3:34.00,Matthew YATES,04 FEB 1969,GBR,3f1,Bruxelles (BEL),13 SEP 1991,1188,1991,men_1500m
35,1732,3:34.0h,Moses KIPTANUI,01 OCT 1970,KEN,1,Nairobi (KEN),13 JUN 1992,1188,1992,men_1500m
36,1732,3:34.00,Robert Kiplagat ANDERSEN,12 DEC 1972,DEN,13,"Stade Louis II, Monaco (MON)",16 AUG 1997,1188,1997,men_1500m
37,1732,3:34.00,Rui SILVA,03 AUG 1977,POR,5,"Olympiastadion, Berlin (GER)",01 SEP 1998,1188,1998,men_1500m
38,1732,3:34.00,Benjamin KIPKURUI,28 DEC 1980,KEN,3,Nice (FRA),09 JUL 2001,1188,2001,men_1500m
39,1732,3:34.00,Rui SILVA,03 AUG 1977,POR,6,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1188,2006,men_1500m
40,1732,3:34.00,Jordan MCNAMARA,07 MAR 1987,USA,4f2,Oordegem (BEL),06 JUL 2013,1188,2013,men_1500m
41,1732,3:34.00,George Meitamei MANANGOI,29 NOV 2000,KEN,7,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1188,2019,men_1500m
42,1732,3:34.00,Isaac NADER,17 AUG 1999,POR,1f1,"Estadio Iberoamericano, Huelva (ESP)",06 JUN 2023,1188,2023,men_1500m
43,1744,3:34.01,Graham WILLIAMSON,15 JUN 1960,GBR,3,Oslo (NOR),28 JUN 1983,1188,1983,men_1500m
44,1744,3:34.01,Abdi BILE,28 DEC 1962,SOM,4,Köln (GER),17 AUG 1986,1188,1986,men_1500m
45,1744,3:34.01,Noureddine MORCELI,28 FEB 1970,ALG,1,Malmö (SWE),03 AUG 1998,1188,1998,men_1500m
46,1744,3:34.01,Saïd CHÉBILI,06 MAY 1973,FRA,4,Nice (FRA),17 JUL 1999,1188,1999,men_1500m
47,1744,3:34.01,Benjamin KIPKURUI,28 DEC 1980,KEN,3,"Olympiastadion, Berlin (GER)",01 SEP 2000,1188,2000,men_1500m
48,1744,3:34.01,Gideon GATHIMBA,09 MAR 1980,KEN,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1188,2008,men_1500m
49,1744,3:34.01,Fouad EL KAAM,27 MAY 1988,MAR,3f1,Rabat (MAR),05 JUN 2011,1188,2011,men_1500m
50,1744,3:34.01,Isaac NADER,17 AUG 1999,POR,4,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1188,2023,men_1500m
51,1752,3:34.02,Frank O'MARA,17 JUL 1960,IRL,2,Bruxelles (BEL),30 AUG 1985,1188,1985,men_1500m
52,1752,3:34.02,Andrés Manuel DÍAZ,12 JUL 1969,ESP,7,Moskva (RUS),05 SEP 1998,1188,1998,men_1500m
53,1752,3:34.02,Driss MAAZOUZI,15 OCT 1969,FRA,8,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1188,1999,men_1500m
54,1752,3:34.02,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,9,"Stade Louis II, Monaco (MON)",19 JUL 2002,1188,2002,men_1500m
55,1752,3:34.02,Adil KAOUCH,01 JAN 1979,MAR,8,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1188,2006,men_1500m
56,1752,3:34.02,Deresse MEKONNEN,20 OCT 1987,ETH,1,Milano (ITA),02 JUL 2008,1188,2008,men_1500m
57,1752,3:34.02,Reynold Kipkorir CHERUIYOT,30 JUL 2004,KEN,1f1,"Stadion De Veen, Heusden-Zolder (BEL)",02 JUL 2022,1188,2022,men_1500m
58,1752,3:34.02,Kyumbe MUNGUTI,28 FEB 1995,KEN,1,"Paul-Greifzu-Stadion, Dessau (GER)",17 JUN 2023,1188,2023,men_1500m
59,1760,3:34.03,José Luis GONZÁLEZ,08 DEC 1957,ESP,1,La Coruña (ESP),06 AUG 1986,1188,1986,men_1500m
60,1760,3:34.03,Azzeddine SEDIKI,21 MAY 1970,MAR,3f1,Köln (GER),21 AUG 1994,1188,1994,men_1500m
61,1760,3:34.03,Vénuste NIYONGABO,09 DEC 1973,BDI,2,Villeneuve d'Ascq (FRA),25 MAY 1996,1188,1996,men_1500m
62,1760,3:34.03,Manuel PANCORBO,07 JUL 1966,ESP,8,Nice (FRA),16 JUL 1997,1188,1997,men_1500m
63,1760,3:34.03,Bernard Kiptanui KIPTUM,08 OCT 1986,KEN,8,"Olympiastadion, Berlin (GER)",04 SEP 2005,1188,2005,men_1500m
64,1760,3:34.03,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,1188,2010,men_1500m
65,1760,3:34.03,Asbel KIPROP,30 JUN 1989,KEN,1,Nairobi (KEN),01 AUG 2015,1188,2015,men_1500m
66,1760,3:34.03,Bethwell BIRGEN,06 AUG 1988,KEN,8,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1188,2016,men_1500m
67,1768,3:34.04,Alex KIPCHIRCHIR,26 NOV 1984,KEN,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1188,2004,men_1500m
68,1768,3:34.04,Yusuf Kibet BIWOTT,12 NOV 1986,KEN,2,Zürich (SUI),18 AUG 2006,1188,2006,men_1500m
69,1768,3:34.04,Bernard Kiptanui KIPTUM,08 OCT 1986,KEN,7,"Olympic Stadium, Athina (GRE)",02 JUL 2007,1188,2007,men_1500m
70,1768,3:34.04,Mohamed MOUSTAOUI,02 APR 1985,MAR,5,Rabat (MAR),14 JUN 2008,1188,2008,men_1500m
71,1768,3:34.04,Marcin LEWANDOWSKI,13 JUN 1987,POL,8,"Stade Louis II, Monaco (MON)",21 JUL 2017,1188,2017,men_1500m
72,1768,3:34.04,Craig ENGELS,01 MAY 1994,USA,5,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1188,2019,men_1500m
73,1774,3:34.05,Sebastian COE,29 SEP 1956,GBR,2f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,1188,1989,men_1500m
74,1774,3:34.05,John MAYOCK,26 OCT 1970,GBR,5f1,Köln (GER),18 AUG 1995,1188,1995,men_1500m
75,1774,3:34.05,Benjamin KIPKURUI,28 DEC 1980,KEN,4,Stockholm (SWE),01 AUG 2000,1188,2000,men_1500m
76,1774,3:34.05,Kevin SULLIVAN,20 MAR 1974,CAN,1,Padova (ITA),26 AUG 2001,1188,2001,men_1500m
77,1774,3:34.05,Cornelius CHIRCHIR,05 JUN 1983,KEN,4,Stockholm (SWE),05 AUG 2003,1188,2003,men_1500m
78,1774,3:34.05,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,4,Zürich (SUI),19 AUG 2005,1188,2005,men_1500m
79,1774,3:34.05,Mounir YEMMOUNI,12 OCT 1983,FRA,8,Rieti (ITA),28 AUG 2005,1188,2005,men_1500m
80,1774,3:34.05,Arturo CASADO,26 JAN 1983,ESP,10,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1188,2009,men_1500m
81,1774,3:34.05,Belal Mansoor ALI,17 OCT 1988,BRN,4,Rieti (ITA),06 SEP 2009,1188,2009,men_1500m
82,1774,3:34.05,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,3f1,"Olympiastadion, Stockholm (SWE)",22 AUG 2013,1188,2013,men_1500m
83,1774,3:34.05,Morhad AMDOUNI,21 JUN 1988,FRA,11,"Stade Louis II, Monaco (MON)",17 JUL 2015,1188,2015,men_1500m
84,1774,3:34.05,Aman WOTE,18 APR 1984,ETH,6,"Letzigrund, Zürich (SUI)",30 AUG 2018,1188,2018,men_1500m
85,1786,3:34.06,Michael HILLARDT,22 JAN 1961,AUS,1,Melbourne (AUS),17 MAR 1988,1188,1988,men_1500m
86,1786,3:34.06,William CHIRCHIR,06 FEB 1979,KEN,3,Melbourne (AUS),09 SEP 2001,1188,2001,men_1500m
87,1786,3:34.06,Cornelius CHIRCHIR,05 JUN 1983,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",01 JUL 2003,1188,2003,men_1500m
88,1786,3:34.06,Ali SAIDI-SIEF,15 MAR 1978,ALG,7,Paris (FRA),23 JUL 2004,1188,2004,men_1500m
89,1786,3:34.06,Noah NGENY,02 NOV 1978,KEN,8,Paris (FRA),23 JUL 2004,1188,2004,men_1500m
90,1786,3:34.06,Ivan HESHKO,19 AUG 1979,UKR,6,"Olympiastadion, Berlin (GER)",12 SEP 2004,1188,2004,men_1500m
91,1786,3:34.06,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,6,Doha (QAT),09 MAY 2008,1188,2008,men_1500m
92,1786,3:34.06,Demma Daba BIKILA,18 JUL 1989,ETH,4,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1188,2010,men_1500m
93,1786,3:34.06,Abiyote ABINET,10 MAY 1989,ETH,2,"Stade Raymond Petit, Tomblaine (FRA)",02 JUL 2013,1188,2013,men_1500m
94,1786,3:34.06,Johan CRONJE,13 APR 1982,RSA,8,"Letzigrund, Zürich (SUI)",29 AUG 2013,1188,2013,men_1500m
95,1786,3:34.06,Kyumbe MUNGUTI,28 FEB 1995,KEN,2f1,"Estadio Iberoamericano, Huelva (ESP)",06 JUN 2023,1188,2023,men_1500m
96,1797,3:34.07,Omar KHALIFA,18 DEC 1956,SUD,3,Bruxelles (BEL),30 AUG 1985,1187,1985,men_1500m
97,1797,3:34.07,Noureddine MORCELI,28 FEB 1970,ALG,1,Stockholm (SWE),12 JUL 1994,1187,1994,men_1500m
98,1797,3:34.07,Timothy KIPTANUI,05 JAN 1980,KEN,3,"AC Gianni Brera, Milano (ITA)",03 JUN 2003,1187,2003,men_1500m
99,1797,3:34.07,James WEST,30 JAN 1996,GBR,5f1,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1187,2020,men_1500m
0,1801,3:34.08,Steve CRAM,14 OCT 1960,GBR,1,Bruxelles (BEL),24 AUG 1984,1187,1984,men_1500m
1,1801,3:34.08,Wilfred Oanda KIROCHI,12 DEC 1969,KEN,1,Rieti (ITA),06 SEP 1991,1187,1991,men_1500m
2,1801,3:34.08,Pascal THIÉBAUT,06 JUN 1959,FRA,4,"Stade Louis II, Monaco (MON)",11 AUG 1992,1187,1992,men_1500m
3,1801,3:34.08,Driss MAAZOUZI,15 OCT 1969,MAR,2,St-Denis (FRA),03 JUN 1996,1187,1996,men_1500m
4,1801,3:34.08,Isaac VICIOSA,26 DEC 1969,ESP,11,Bruxelles (BEL),22 AUG 1997,1187,1997,men_1500m
5,1801,3:34.08,Ali HAKIMI,24 APR 1976,TUN,7,Köln (GER),24 AUG 1997,1187,1997,men_1500m
6,1801,3:34.08,Bernard LAGAT,12 DEC 1974,KEN,1,Bergen (NOR),11 JUN 2004,1187,2004,men_1500m
7,1801,3:34.08,Taoufik MAKHLOUFI,29 APR 1988,ALG,1,"Olympic Stadium, London (GBR)",07 AUG 2012,1187,2012,men_1500m
8,1801,3:34.08,Leonel MANZANO,12 SEP 1984,USA,10,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1187,2012,men_1500m
9,1801,3:34.08,Vincent KIBET,06 MAY 1991,KEN,13,"Stade Charléty, Paris (FRA)",24 AUG 2019,1187,2019,men_1500m
10,1801,3:34.08,Henry WYNNE,18 APR 1995,USA,4f1,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1187,2021,men_1500m
11,1801,3:34.08,Matthew RAMSDEN,23 JUL 1997,AUS,2f1,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1187,2021,men_1500m
12,1801,3:34.08,Abel KIPSANG,22 NOV 1996,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1187,2021,men_1500m
13,1801,3:34.08,Jimmy GRESSIER,04 MAY 1997,FRA,2,"Stade des Grands Pêchers, Montreuil (FRA)",31 MAY 2023,1187,2023,men_1500m
14,1815,3:34.09,Azzeddine SEDIKI,21 MAY 1970,MAR,1,Zürich (SUI),16 AUG 1995,1187,1995,men_1500m
15,1815,3:34.09,Marcus O'SULLIVAN,22 DEC 1961,IRL,3,Paris (FRA),28 JUN 1996,1187,1996,men_1500m
16,1815,3:34.09,John KOSGEI,15 JUL 1973,KEN,2,Bratislava (SVK),10 JUN 1997,1187,1997,men_1500m
17,1815,3:34.09,Rüdiger STENZEL,16 APR 1968,GER,3,Stuttgart (GER),13 JUL 1997,1187,1997,men_1500m
18,1815,3:34.09,Vyacheslav SHABUNIN,27 SEP 1969,RUS,5,Nice (FRA),17 JUL 1999,1187,1999,men_1500m
19,1815,3:34.09,Laban ROTICH,20 JAN 1969,KEN,5,"Stade Charléty, Paris (FRA)",14 SEP 2002,1187,2002,men_1500m
20,1815,3:34.09,Arturo CASADO,26 JAN 1983,ESP,9,"Stadio Olimpico, Roma (ITA)",13 JUL 2007,1187,2007,men_1500m
21,1815,3:34.09,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Olympiastadion, Berlin (GER)",16 SEP 2007,1187,2007,men_1500m
22,1815,3:34.09,Asbel KIPROP,30 JUN 1989,KEN,3,"Letzigrund, Zürich (SUI)",28 AUG 2009,1187,2009,men_1500m
23,1815,3:34.09,Vincent KIBET,06 MAY 1991,KEN,1,Montreuil-sous-Bois (FRA),07 JUL 2014,1187,2014,men_1500m
24,1815,3:34.09,Matthew CENTROWITZ,18 OCT 1989,USA,1,"Hayward Field, Eugene, OR (USA)",10 JUL 2016,1187,2016,men_1500m
25,1826,3:34.10,Andreas BUSSE,06 MAY 1959,GDR,1,Potsdam (GDR),21 JUL 1984,1187,1984,men_1500m
26,1826,3:34.10,Saïd AOUITA,02 NOV 1959,MAR,1,Koblenz (GER),29 AUG 1984,1187,1984,men_1500m
27,1826,3:34.10,Nadir BOSCH,16 MAY 1973,FRA,14,"Stade Louis II, Monaco (MON)",16 AUG 1997,1187,1997,men_1500m
28,1826,3:34.10,Robert Kiplagat ANDERSEN,12 DEC 1972,DEN,8,Köln (GER),24 AUG 1997,1187,1997,men_1500m
29,1826,3:34.10,Nick WILLIS,25 APR 1983,NZL,5,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1187,2011,men_1500m
30,1826,3:34.10,Álvaro RODRÍGUEZ,25 MAY 1987,ESP,6,"FBK Stadium, Hengelo (NED)",27 MAY 2012,1187,2012,men_1500m
31,1832,3:34.11,Omar KHALIFA,18 DEC 1956,SUD,5,Koblenz (GER),27 AUG 1980,1187,1980,men_1500m
32,1832,3:34.11,Markus HACKSTEINER,18 NOV 1964,SUI,3f1,Koblenz (GER),13 AUG 1987,1187,1987,men_1500m
33,1832,3:34.11,Ivan HESHKO,19 AUG 1979,UKR,2,Bergen (NOR),11 JUN 2004,1187,2004,men_1500m
34,1832,3:34.11,Laban ROTICH,20 JAN 1969,KEN,7,Zürich (SUI),06 AUG 2004,1187,2004,men_1500m
35,1832,3:34.11,Ivan HESHKO,19 AUG 1979,UKR,6,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1187,2006,men_1500m
36,1832,3:34.11,Abdelaati IGUIDER,25 MAR 1987,MAR,4,"Stade Louis II, Monaco (MON)",25 JUL 2007,1187,2007,men_1500m
37,1832,3:34.11,Shadrack KORIR,14 DEC 1978,KEN,9,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1187,2008,men_1500m
38,1832,3:34.11,Gideon GATHIMBA,09 MAR 1980,KEN,6,"Olympiastadion, Berlin (GER)",14 JUN 2009,1187,2009,men_1500m
39,1832,3:34.11,Abdelaati IGUIDER,25 MAR 1987,MAR,3,Tanger (MAR),12 JUL 2009,1187,2009,men_1500m
40,1832,3:34.11,Russell BROWN,06 MAR 1985,USA,12,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1187,2012,men_1500m
41,1842,3:34.12,Peter ELLIOTT,09 OCT 1962,GBR,1,Rovereto (ITA),21 AUG 1990,1187,1990,men_1500m
42,1842,3:34.12,Mohamed SULEIMAN,23 NOV 1969,QAT,6,Zürich (SUI),19 AUG 1992,1187,1992,men_1500m
43,1842,3:34.12,Atoi BORU,25 OCT 1973,KEN,1,Rieti (ITA),28 AUG 1994,1187,1994,men_1500m
44,1842,3:34.12,Laban ROTICH,20 JAN 1969,KEN,7,Bruxelles (BEL),23 AUG 1996,1187,1996,men_1500m
45,1842,3:34.12,William YIAMPOY,17 MAY 1974,KEN,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1187,2001,men_1500m
46,1842,3:34.12,Benson KOECH,10 NOV 1974,KEN,2f2,"Letzigrund, Zürich (SUI)",17 AUG 2001,1187,2001,men_1500m
47,1842,3:34.12,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1187,2005,men_1500m
48,1842,3:34.12,Abdelaati IGUIDER,25 MAR 1987,MAR,1f1,Rehlingen (GER),13 JUN 2011,1187,2011,men_1500m
49,1842,3:34.12,Garrett HEATH,03 NOV 1985,USA,5f2,Oordegem (BEL),06 JUL 2013,1187,2013,men_1500m
50,1842,3:34.12,Abdellatif SADIKI,15 JAN 1999,MAR,8,"Letzigrund, Zürich (SUI)",08 SEP 2022,1187,2022,men_1500m
51,1842,3:34.12,Amon KEMBOI,,KEN,1,"Mt. Hood Community College, Gresham, OR (USA)",04 JUN 2023,1187,2023,men_1500m
52,1853,3:34.13,Saïd AOUITA,02 NOV 1959,MAR,1,Paris (FRA),04 SEP 1984,1187,1984,men_1500m
53,1853,3:34.13,Mohamed SULEIMAN,23 NOV 1969,QAT,1f1,Köln (GER),01 AUG 1993,1187,1993,men_1500m
54,1853,3:34.13,Christophe IMPENS,09 DEC 1969,BEL,8,Bruxelles (BEL),23 AUG 1996,1187,1996,men_1500m
55,1853,3:34.13,Alexandru VASILE,26 OCT 1975,ROU,1,Bucureşti (ROU),13 JUN 1997,1187,1997,men_1500m
56,1853,3:34.13,Vyacheslav SHABUNIN,27 SEP 1969,RUS,4,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1187,1998,men_1500m
57,1853,3:34.13,Driss MAAZOUZI,15 OCT 1969,FRA,3,Nice (FRA),08 JUL 2000,1187,2000,men_1500m
58,1853,3:34.13,Bernard LAGAT,12 DEC 1974,KEN,1,"Portland, OR (USA)",17 MAY 2003,1187,2003,men_1500m
59,1853,3:34.13,Adil KAOUCH,01 JAN 1979,MAR,2,Madrid (ESP),17 JUL 2006,1187,2006,men_1500m
