Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
45,4689,22.84,-0.1,Muriel HURTIS,25 MAR 1979,FRA,5,Paris (FRA),23 JUL 2004,1151,2004,women_200m
46,4689,22.84,0.7,Larisa KRUGLOVA,27 OCT 1972,RUS,5,Tula (RUS),31 JUL 2004,1151,2004,women_200m
47,4689,22.84,1.8,Irina KHABAROVA,18 MAR 1966,RUS,1h4,Tula (RUS),31 JUL 2004,1151,2004,women_200m
48,4689,22.84,0.8,Kim GEVAERT,05 AUG 1978,BEL,6,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1151,2004,women_200m
49,4689,22.84,-2.2,Aleen BAILEY,25 NOV 1980,JAM,3,"Stade Louis II, Monaco (MON)",18 SEP 2004,1164,2004,women_200m
50,4689,22.84,1.9,Tremedia BRICE,22 JUL 1981,USA,1,"Houston, TX (USA)",26 MAR 2005,1151,2005,women_200m
51,4689,22.84,-0.6,Christine ARRON,13 SEP 1973,FRA,1,"Stadio Luigi Ridolfi, Firenze (ITA)",19 JUN 2005,1154,2005,women_200m
52,4689,22.84,2.0,Kerron STEWART,16 APR 1984,JAM,1h,"Knoxville, TN (USA)",26 MAY 2006,1151,2006,women_200m
53,4689,22.84,0.7,Kim GEVAERT,05 AUG 1978,BEL,1,Villeneuve d'Ascq (FRA),09 JUN 2006,1151,2006,women_200m
54,4689,22.84,0.3,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,3h5,"Tuscaloosa, AL (USA)",11 MAY 2007,1151,2007,women_200m
55,4689,22.84,0.9,Tiffany TOWNSEND,14 JUN 1989,USA,1,"Austin, TX (USA)",12 MAY 2007,1151,2007,women_200m
56,4689,22.84,-0.3,Shareese WOODS,20 FEB 1985,USA,3sf1,"Sacramento, CA (USA)",07 JUN 2007,1152,2007,women_200m
57,4689,22.84,1.9,Tezdzhan NAIMOVA,01 MAY 1987,BUL,1h3,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1151,2007,women_200m
58,4689,22.84,-0.2,Virgil HODGE,17 NOV 1983,SKN,3qf1,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1152,2007,women_200m
59,4689,22.84,0.5,Kim GEVAERT,05 AUG 1978,BEL,4,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,1151,2007,women_200m
60,4689,22.84,1.5,Alexandria ANDERSON,28 JAN 1987,USA,1,"Austin, TX (USA)",19 APR 2008,1151,2008,women_200m
61,4689,22.84,2.0,Marshevet HOOKER,25 SEP 1984,USA,1,"Greensboro, NC (USA)",19 APR 2008,1151,2008,women_200m
62,4689,22.84,0.7,Natalie KNIGHT,24 OCT 1986,USA,1,"Auburn, AL (USA)",18 MAY 2008,1151,2008,women_200m
63,4689,22.84,1.6,Muna LEE,30 OCT 1981,USA,3qf1,"Eugene, OR (USA)",05 JUL 2008,1151,2008,women_200m
64,4689,22.84,-1.2,Debbie FERGUSON-MCKENZIE,16 JAN 1976,BAH,3,"Crystal Palace, London (GBR)",25 JUL 2008,1158,2008,women_200m
65,4689,22.84,0.8,Charonda WILLIAMS,27 MAR 1987,USA,1,"Walnut, CA (USA)",18 APR 2009,1151,2009,women_200m
66,4689,22.84,-1.2,Charonda WILLIAMS,27 MAR 1987,USA,2,"Fayetteville, AR (USA)",13 JUN 2009,1158,2009,women_200m
67,4689,22.84,1.1,Shareese WOODS,20 FEB 1985,USA,2f1,Salamanca (ESP),08 JUL 2009,1151,2009,women_200m
68,4689,22.84,1.3,Marshevet HOOKER,25 SEP 1984,USA,4,Stockholm (SWE),31 JUL 2009,1151,2009,women_200m
69,4689,22.84,-0.2,Shalonda SOLOMON,19 DEC 1985,USA,4,Kingston (JAM),01 MAY 2010,1152,2010,women_200m
70,4689,22.84,1.6,Candyce MCGRONE,24 MAR 1989,USA,1f1,"Greensboro, NC (USA)",29 MAY 2010,1151,2010,women_200m
71,4689,22.84,-0.4,Cydonie MOTHERSILL,19 MAR 1978,CAY,1,Bydgoszcz (POL),06 JUN 2010,1153,2010,women_200m
72,4689,22.84,0.6,Me'Lisa BARBER,04 OCT 1980,USA,6,"Drake Stadium, Des Moines, IA (USA)",27 JUN 2010,1151,2010,women_200m
73,4689,22.84,-0.2,Lina JACQUES-SÉBASTIEN,10 APR 1985,FRA,2sf1,"Estadio Olímpico, Barcelona (ESP)",30 JUL 2010,1152,2010,women_200m
74,4689,22.84,1.1,Jessica DAVIS,31 OCT 1992,USA,1,"Tucson, AZ (USA)",14 MAY 2011,1151,2011,women_200m
75,4689,22.84,0.0,Mariya RYEMYEN,02 AUG 1987,UKR,2f2,Yalta (UKR),31 MAY 2011,1151,2011,women_200m
76,4689,22.84,1.7,Sanya RICHARDS-ROSS,26 FEB 1985,USA,2h2,"Hayward Field, Eugene, OR (USA)",25 JUN 2011,1151,2011,women_200m
77,4689,22.84,-0.9,Tiffany TOWNSEND,14 JUN 1989,USA,1f2,"Meteor, Zhukovskiy (RUS)",03 JUL 2011,1156,2011,women_200m
78,4689,22.84,-1.1,Sherone SIMPSON,12 AUG 1984,JAM,2,"Crystal Palace, London (GBR)",05 AUG 2011,1157,2011,women_200m
79,4689,22.84,-1.4,Mariya RYEMYEN,02 AUG 1987,UKR,2,Tanger (MAR),18 SEP 2011,1159,2011,women_200m
80,4689,22.84,0.6,Aleen BAILEY,25 NOV 1980,JAM,7,Kingston (JAM),01 JUL 2012,1151,2012,women_200m
81,4689,22.84,0.1,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,4,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1151,2012,women_200m
82,4689,22.84,1.7,Shericka JACKSON,16 JUL 1994,JAM,2,Nassau (BAH),01 APR 2013,1151,2013,women_200m
83,4689,22.84,1.0,Dafne SCHIPPERS,15 JUN 1992,NED,3,"FBK Stadium, Hengelo (NED)",08 JUN 2013,1151,2013,women_200m
84,4689,22.84,-1.1,Tiffany TOWNSEND,14 JUN 1989,USA,3sf1,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1157,2013,women_200m
85,4689,22.84,-1.1,Chauntae BAYNE,04 APR 1984,USA,4sf1,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1157,2013,women_200m
86,4689,22.84,0.0,Dafne SCHIPPERS,15 JUN 1992,NED,1ce5,"Luzhniki Stadion, Moskva (RUS)",12 AUG 2013,1151,2013,women_200m
87,4689,22.84,0.0,Kimberlyn DUNCAN,02 AUG 1991,USA,1h1,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1151,2013,women_200m
88,4689,22.84,-0.3,Mariya RYEMYEN,02 AUG 1987,UKR,7,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1152,2013,women_200m
89,4689,22.84,-0.4,Charonda WILLIAMS,27 MAR 1987,USA,4,"Letzigrund, Zürich (SUI)",29 AUG 2013,1153,2013,women_200m
90,4689,22.84,0.2,Cierra WHITE,29 APR 1993,USA,2h2,"Ames, IA (USA)",16 MAY 2015,1151,2015,women_200m
91,4689,22.84,1.9,Khamica BINGHAM,15 JUN 1994,CAN,1h3,Windsor (CAN),23 MAY 2015,1151,2015,women_200m
92,4689,22.84,-0.5,Ángela Gabriela TENORIO,27 JAN 1996,ECU,1,Cuenca (ECU),31 MAY 2015,1154,2015,women_200m
93,4689,22.84,0.2,Anthonique STRACHAN,22 AUG 1993,BAH,1,Nassau (BAH),27 JUN 2015,1151,2015,women_200m
94,4689,22.84,-0.3,Kamaria BROWN,21 DEC 1992,USA,5,"Olympic Stadium, London (GBR)",25 JUL 2015,1152,2015,women_200m
95,4689,22.84,0.5,Ella NELSON,10 MAY 1994,AUS,1h1,Canberra (AUS),07 FEB 2016,1151,2016,women_200m
96,4689,22.84,0.3,Kaylin WHITNEY,09 MAR 1998,USA,4,Nassau (BAH),16 APR 2016,1151,2016,women_200m
97,4689,22.84,-0.1,Hannah CUNLIFFE,09 JAN 1996,USA,1h4,"Seattle, WA (USA)",14 MAY 2016,1151,2016,women_200m
98,4689,22.84,1.9,Kelly-Ann BAPTISTE,14 OCT 1986,TTO,3f1,"Tampa, FL (USA)",27 MAY 2016,1151,2016,women_200m
99,4689,22.84,-0.5,Gina LÜCKENKEMPER,21 NOV 1996,GER,1,Kassel (GER),19 JUN 2016,1154,2016,women_200m
0,4689,22.84,1.2,Alyssa CONLEY,27 APR 1991,RSA,2,Durban (RSA),26 JUN 2016,1151,2016,women_200m
1,4689,22.84,-0.4,Natalia POHREBNIAK,19 FEB 1988,UKR,5,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1153,2016,women_200m
2,4689,22.84,0.6,Edidiong Ofinome ODIONG,13 MAR 1997,BRN,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",23 JUL 2016,1151,2016,women_200m
3,4689,22.84,0.8,Edidiong Ofinome ODIONG,13 MAR 1997,BRN,6sf3,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1151,2016,women_200m
4,4689,22.84,1.3,Jaevin REED,05 FEB 1998,USA,1f3,"San Antonio, TX (USA)",25 MAR 2017,1151,2017,women_200m
5,4689,22.84,0.7,Brittany BROWN,18 APR 1995,USA,2h5,"Austin, TX (USA)",26 MAY 2017,1151,2017,women_200m
6,4689,22.84,0.3,Anthonique STRACHAN,22 AUG 1993,BAH,3,Kingston (JAM),10 JUN 2017,1151,2017,women_200m
7,4689,22.84,1.7,Justine PALFRAMAN,04 NOV 1993,RSA,1f1,Kortrijk (BEL),08 JUL 2017,1151,2017,women_200m
8,4689,22.84,0.1,Tatjana PINTO,02 JUL 1992,GER,1f1,Weinheim (GER),26 MAY 2018,1151,2018,women_200m
9,4689,22.84,0.6,Beth DOBBIN,07 JUN 1994,GBR,1f1,Eton (GBR),02 JUN 2018,1151,2018,women_200m
10,4689,22.84,-0.8,Jamile SAMUEL,24 APR 1992,NED,4f1,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1155,2018,women_200m
11,4689,22.84,0.4,Shericka JACKSON,16 JUL 1994,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1151,2018,women_200m
12,4689,22.84,1.4,Beth DOBBIN,07 JUN 1994,GBR,2sf2,"Olympiastadion, Berlin (GER)",10 AUG 2018,1151,2018,women_200m
13,4689,22.84,0.2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,2sf3,"Olympiastadion, Berlin (GER)",10 AUG 2018,1151,2018,women_200m
14,4689,22.84,0.6,Salwa Eid NASER,23 MAY 1998,BRN,1h2,Doha (QAT),23 APR 2019,1151,2019,women_200m
15,4689,22.84,0.6,Twanisha TERRY,24 JAN 1999,USA,4qf3,"Sacramento, CA (USA)",25 MAY 2019,1151,2019,women_200m
16,4689,22.84,1.6,Anglerne ANNELUS,10 JAN 1997,USA,1,Queretaro (MEX),07 JUL 2019,1151,2019,women_200m
17,4689,22.84,0.4,Dezerea BRYANT,27 APR 1993,USA,6,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1151,2019,women_200m
18,4689,22.84,-0.3,TyNia GAITHER,16 MAR 1993,BAH,1,Andújar (ESP),06 SEP 2019,1152,2019,women_200m
19,4689,22.84,-0.4,Beth DOBBIN,07 JUN 1994,GBR,4,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1153,2021,women_200m
20,4689,22.84,-1.0,Shannon RAY,31 DEC 1995,USA,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1157,2022,women_200m
21,4689,22.84,1.8,Mariah AYERS,2000,USA,2h2,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",14 MAY 2022,1151,2022,women_200m
22,4689,22.84,0.7,Karimah DAVIS,23 NOV 1998,USA,4h1,"Billy Hayes T& F Complex, Bloomington, IN (USA)",28 MAY 2022,1151,2022,women_200m
23,4689,22.84,1.1,Vitoria Cristina ROSA,12 JAN 1996,BRA,3h3,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1151,2022,women_200m
24,4689,22.84,1.4,Jessika GBAI,29 DEC 1998,CIV,6sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1151,2022,women_200m
25,4689,22.84,-0.1,Ida KARSTOFT,29 OCT 1995,DEN,5sf3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1151,2022,women_200m
26,4689,22.84,1.8,Georgia HULLS,27 AUG 1999,NZL,2,"Nga Puna Wai Sports Hub, Christchurch (NZL)",19 FEB 2023,1151,2023,women_200m
27,4689,22.84,0.1,Kynnedy FLANNEL,12 JUL 2000,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1151,2023,women_200m
28,4689,22.84,1.5,Jadyn MAYS,02 APR 2002,USA,1h1,"Hilmer Lodge Stadium, Walnut, CA (USA)",12 MAY 2023,1151,2023,women_200m
29,4689,22.84,0.0,Karimah DAVIS,23 NOV 1998,USA,5,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1151,2023,women_200m
30,4689,22.84,1.5,Jessika GBAI,29 DEC 1998,CIV,2f1,"National Training Center, Clermont, FL (USA)",14 MAY 2023,1151,2023,women_200m
31,4689,22.84,1.8,Amira YOUNG,15 JUN 2000,USA,4h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1151,2023,women_200m
32,4689,22.84,1.4,Tasa JIYA,16 SEP 1997,NED,4,"FBK Stadium, Hengelo (NED)",04 JUN 2023,1151,2023,women_200m
33,4689,22.84,0.6,Veronica Shanti PEREIRA,20 SEP 1996,SGP,1,"Centre sportif Bout-du-Monde, Genève (SUI)",10 JUN 2023,1151,2023,women_200m
34,4835,22.85,0.6,Bärbel ECKERT,21 MAR 1955,GDR,1,Duisburg (GER),26 AUG 1973,1150,1973,women_200m
35,4835,22.85,1.2,Bärbel ECKERT,21 MAR 1955,GDR,1qf4,"Olympic Stadium, Montréal (CAN)",26 JUL 1976,1150,1976,women_200m
36,4835,22.85,,Irena SZEWIŃSKA,24 MAY 1946,POL,1,Bydgoszcz (POL),19 JUN 1977,1150,1977,women_200m
37,4835,22.85,,Silvia CHIVÁS,10 SEP 1954,CUB,1,Guadalajara (MEX),12 AUG 1977,1150,1977,women_200m
38,4835,22.85,0.5,Ewa PISIEWICZ,07 MAY 1962,POL,1,Zabrze (POL),25 AUG 1985,1150,1985,women_200m
39,4835,22.85,1.2,Jackie JOYNER,03 MAR 1962,USA,ce,"Houston, TX (USA)",01 AUG 1986,1150,1986,women_200m
40,4835,22.85,-0.6,Gail DEVERS,19 NOV 1966,USA,1,"Westwood, CA (USA)",16 MAY 1987,1153,1987,women_200m
41,4835,22.85,0.5,Vera ZAYTSEVA,13 OCT 1963,URS,2,Chelyabinsk (URS),21 JUN 1987,1150,1987,women_200m
42,4835,22.85,0.8,Pauline DAVIS-THOMPSON,09 JUL 1966,BAH,2h3,San José (USA),25 JUN 1987,1150,1987,women_200m
43,4835,22.85,0.3,Juliet CUTHBERT,09 APR 1964,JAM,2,München (GER),09 SEP 1987,1150,1987,women_200m
44,4835,22.85,-1.4,Katrin KRABBE,22 NOV 1969,GDR,1,Granada (ESP),28 MAY 1988,1158,1988,women_200m
45,4835,22.85,1.3,Diane DIXON,23 SEP 1964,USA,5f1,"Letzigrund, Zürich (SUI)",17 AUG 1988,1150,1988,women_200m
46,4835,22.85,,Galina MALCHUGINA,17 DEC 1962,URS,1h3,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1150,1988,women_200m
47,4835,22.85,0.5,Dawn SOWELL,27 MAR 1966,USA,1,"Westwood, CA (USA)",15 APR 1989,1150,1989,women_200m
48,4835,22.85,1.1,Anita HOWARD,22 MAR 1969,USA,1f2,"New York, NY (USA)",22 JUL 1989,1150,1989,women_200m
49,4835,22.85,-1.0,Danette YOUNG-STONE,06 OCT 1964,USA,8f1,Zürich (SUI),15 AUG 1990,1156,1990,women_200m
50,4835,22.85,0.3,Esther JONES,07 APR 1969,USA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1150,1992,women_200m
51,4835,22.85,1.1,Stacy BOWEN,11 DEC 1969,CAN,1,"Fayetteville, AR (USA)",15 MAY 1994,1150,1994,women_200m
52,4835,22.85,0.6,Cathy FREEMAN,16 FEB 1973,AUS,4,"New York, NY (USA)",21 MAY 1995,1150,1995,women_200m
53,4835,22.85,1.7,Pauline DAVIS-THOMPSON,09 JUL 1966,BAH,3,San José (USA),27 MAY 1995,1150,1995,women_200m
54,4835,22.85,1.3,Celena MONDIE-MILNER,06 AUG 1968,USA,1,"Bloomington, IN (USA)",11 MAY 1996,1150,1996,women_200m
55,4835,22.85,0.9,Kisha JETT,11 FEB 1975,USA,3qf,"Atlanta, GA (USA)",22 JUN 1996,1150,1996,women_200m
56,4835,22.85,0.1,Chandra STURRUP,12 SEP 1971,BAH,6,Bruxelles (BEL),23 AUG 1996,1150,1996,women_200m
57,4835,22.85,-0.3,Natalya VORONOVA,09 JUL 1965,RUS,7f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1997,1151,1997,women_200m
58,4835,22.85,0.2,Andrea PHILIPP,29 JUL 1971,GER,1,Hamburg (GER),23 JUL 1997,1150,1997,women_200m
59,4835,22.85,0.0,Zhanna PINTUSEVICH,06 JUL 1972,UKR,1h1,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1150,1997,women_200m
60,4835,22.85,-3.1,Inger MILLER,12 JUN 1972,USA,2qf3,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1168,1997,women_200m
61,4835,22.85,0.1,Grit BREUER,16 FEB 1972,GER,6,Köln (GER),24 AUG 1997,1150,1997,women_200m
62,4835,22.85,0.0,Jiankui YAN,19 MAR 1976,CHN,1,Shijiazhuang (CHN),26 APR 1998,1150,1998,women_200m
63,4835,22.85,1.5,Lorraine FENTON,08 SEP 1973,JAM,1,"Joplin, MO (USA)",15 MAY 1998,1150,1998,women_200m
64,4835,22.85,-0.7,Debbie FERGUSON,16 JAN 1976,BAH,sf,"Buffalo, NY (USA)",05 JUN 1998,1154,1998,women_200m
65,4835,22.85,0.0,Melanie PASCHKE,29 JUN 1970,GER,1,Dortmund (GER),07 JUN 1998,1150,1998,women_200m
66,4835,22.85,-1.8,Falilat OGUNKOYA-OSHEKU,05 DEC 1968,NGR,1,"Stadion Rošický, Praha (CZE)",08 JUN 1998,1160,1998,women_200m
67,4835,22.85,1.2,Sylviane FÉLIX,31 OCT 1977,FRA,1,Genève (SUI),20 JUN 1998,1150,1998,women_200m
68,4835,22.85,-0.3,Ionela ŢIRLEA-MANOLACHE,09 FEB 1976,ROU,1,Bucureşti (ROU),21 JUN 1998,1151,1998,women_200m
69,4835,22.85,0.9,Sylviane FÉLIX,31 OCT 1977,FRA,h,Dijon (FRA),04 JUL 1998,1150,1998,women_200m
70,4835,22.85,0.0,Melanie PASCHKE,29 JUN 1970,GER,1,Ingolstadt (GER),26 JUL 1998,1150,1998,women_200m
71,4835,22.85,0.3,Natalya VORONOVA,09 JUL 1965,RUS,5,Bruxelles (BEL),28 AUG 1998,1150,1998,women_200m
72,4835,22.85,0.7,Ionela ŢIRLEA-MANOLACHE,09 FEB 1976,ROU,4,"Stade Charléty, Paris (FRA)",19 JUN 1999,1150,1999,women_200m
73,4835,22.85,0.4,Christine BLOOMFIELD,12 FEB 1968,GBR,2,Birmingham (GBR),25 JUL 1999,1150,1999,women_200m
74,4835,22.85,-0.5,Muriel HURTIS,25 MAR 1979,FRA,2,"Ullevi Stadium, Göteborg (SWE)",31 JUL 1999,1153,1999,women_200m
75,4835,22.85,-0.5,Sabrina MULRAIN,10 JUN 1978,GER,3,"Ullevi Stadium, Göteborg (SWE)",31 JUL 1999,1153,1999,women_200m
76,4835,22.85,0.2,Natalya VINOGRADOVA,28 FEB 1973,BLR,2h5,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1150,1999,women_200m
77,4835,22.85,1.1,Esther MÖLLER,13 SEP 1977,GER,6qf2,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1150,1999,women_200m
78,4835,22.85,0.0,Pauline DAVIS-THOMPSON,09 JUL 1966,BAH,5,Nürnberg (GER),25 JUN 2000,1150,2000,women_200m
79,4835,22.85,1.0,Celena MONDIE-MILNER,06 AUG 1968,USA,3,Ciudad de México (MEX),02 JUL 2000,1150,2000,women_200m
80,4835,22.85,1.0,Léonie Myriam MANI,21 MAY 1977,CMR,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1150,2000,women_200m
81,4835,22.85,0.2,Olena PASTUSHENKO,14 JUL 1979,UKR,1,Dortmund (GER),08 JUL 2000,1150,2000,women_200m
82,4835,22.85,-0.9,Michelle COLLINS,12 FEB 1971,USA,h,"Sacramento, CA (USA)",22 JUL 2000,1155,2000,women_200m
83,4835,22.85,-0.4,Svetlana POSPELOVA,24 DEC 1979,RUS,1,Tula (RUS),25 JUL 2000,1152,2000,women_200m
84,4835,22.85,1.6,Louise AYETOTCHÉ,03 JUN 1975,CIV,2h4,"Olympic Stadium, Sydney (AUS)",27 SEP 2000,1150,2000,women_200m
85,4835,22.85,0.3,Ionela ŢIRLEA-MANOLACHE,09 FEB 1976,ROU,2,"Weserstadion, Bremen (GER)",24 JUN 2001,1150,2001,women_200m
86,4835,22.85,-0.8,LaTasha JENKINS,19 DEC 1977,USA,2,"Commonwealth Stadium, Edmonton (CAN)",10 AUG 2001,1154,2001,women_200m
87,4835,22.85,1.7,Aleen BAILEY,25 NOV 1980,JAM,3h1,"Baton Rouge, LA (USA)",29 MAY 2002,1150,2002,women_200m
88,4835,22.85,0.0,Beverly MCDONALD,15 FEB 1970,JAM,3,Linz (AUT),19 AUG 2002,1150,2002,women_200m
89,4835,22.85,0.0,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1h2,Oxford (GBR),14 MAY 2004,1150,2004,women_200m
90,4835,22.85,1.1,Beverly MCDONALD,15 FEB 1970,JAM,3,Kingston (JAM),27 JUN 2004,1150,2004,women_200m
91,4835,22.85,-1.2,Muna LEE,30 OCT 1981,USA,2sf2,"Sacramento, CA (USA)",17 JUL 2004,1157,2004,women_200m
92,4835,22.85,0.7,Sylviane FÉLIX,31 OCT 1977,FRA,3,Sotteville-lès-Rouen (FRA),18 JUL 2004,1150,2004,women_200m
93,4835,22.85,0.7,Charlette GREGGS,20 OCT 1983,USA,2sf1,"Sacramento, CA (USA)",09 JUN 2005,1150,2005,women_200m
94,4835,22.85,-0.6,Sheri-Ann BROOKS,11 FEB 1983,JAM,1,"Sacramento, CA (USA)",11 JUN 2005,1153,2005,women_200m
95,4835,22.85,0.7,Felipa Alicia PALACIOS,01 DEC 1975,COL,1,Armenia (COL),20 AUG 2005,1150,2005,women_200m
96,4835,22.85,1.1,Kerron STEWART,16 APR 1984,JAM,2,"Fayetteville, AR (USA)",14 MAY 2006,1150,2006,women_200m
97,4835,22.85,-1.0,Kelly-Ann BAPTISTE,14 OCT 1986,TTO,1h4,"Sacramento, CA (USA)",07 JUN 2006,1156,2006,women_200m
98,4835,22.85,,Yekaterina KONDRATYEVA,08 APR 1982,RUS,3,Tula (RUS),16 JUL 2006,1150,2006,women_200m
99,4835,22.85,-0.3,Rachelle BOONE-SMITH,30 JUN 1981,USA,5f1,Stockholm (SWE),25 JUL 2006,1151,2006,women_200m
0,4835,22.85,0.9,Natalie KNIGHT,24 OCT 1986,USA,2h,"Gainesville, FL (USA)",25 MAY 2007,1150,2007,women_200m
1,4835,22.85,0.4,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,1h1,"Sacramento, CA (USA)",07 JUN 2007,1150,2007,women_200m
2,4835,22.85,1.3,Lauryn WILLIAMS,11 SEP 1983,USA,1f2,"Modesto, CA (USA)",10 MAY 2008,1150,2008,women_200m
3,4835,22.85,1.8,LaShauntea MOORE,31 JUL 1983,USA,2f2,"Provo, UT (USA)",24 MAY 2008,1150,2008,women_200m
4,4835,22.85,-0.5,Yuliya GUSHCHINA,04 MAR 1983,RUS,2,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1153,2008,women_200m
5,4835,22.85,1.0,Sheniqua FERGUSON,24 NOV 1989,BAH,2,Nassau (BAH),28 JUN 2008,1150,2008,women_200m
6,4835,22.85,1.1,Aleen BAILEY,25 NOV 1980,JAM,7,Kingston (JAM),29 JUN 2008,1150,2008,women_200m
7,4835,22.85,0.0,Porscha LUCAS,18 JUN 1988,USA,1h2,"Lubbock, TX (USA)",16 MAY 2009,1150,2009,women_200m
8,4835,22.85,0.3,Christine OHURUOGU,17 MAY 1984,GBR,2,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1150,2009,women_200m
9,4835,22.85,-1.9,Stephanie DURST,06 JAN 1982,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUN 2009,1161,2009,women_200m
10,4835,22.85,1.9,Gloria ASUMNU,22 MAY 1985,USA,5sf1,"Eugene, OR (USA)",28 JUN 2009,1150,2009,women_200m
11,4835,22.85,1.7,Porscha LUCAS,18 JUN 1988,USA,1f1,"Austin, TX (USA)",01 MAY 2010,1150,2010,women_200m
12,4835,22.85,0.0,Porscha LUCAS,18 JUN 1988,USA,7,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1150,2010,women_200m
13,4835,22.85,1.3,Charonda WILLIAMS,27 MAR 1987,USA,2,"Walnut, CA (USA)",16 APR 2011,1150,2011,women_200m
14,4835,22.85,0.2,Mariya RYEMYEN,02 AUG 1987,UKR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1150,2011,women_200m
15,4835,22.85,-1.1,Shalonda SOLOMON,19 DEC 1985,USA,3,"Crystal Palace, London (GBR)",05 AUG 2011,1156,2011,women_200m
16,4835,22.85,-0.1,Debbie FERGUSON-MCKENZIE,16 JAN 1976,BAH,4sf2,"DS, Daegu (KOR)",01 SEP 2011,1150,2011,women_200m
17,4835,22.85,0.5,Chalonda GOODMAN,29 SEP 1990,USA,2f1,"Gainesville, FL (USA)",06 APR 2012,1150,2012,women_200m
18,4835,22.85,-0.7,Anthonique STRACHAN,22 AUG 1993,BAH,1,Devonshire (BER),09 APR 2012,1154,2012,women_200m
19,4835,22.85,-0.3,Bianca KNIGHT,02 JAN 1989,USA,2,"Mestský Stadion, Ostrava (CZE)",25 MAY 2012,1151,2012,women_200m
20,4835,22.85,0.6,LaShauntea MOORE,31 JUL 1983,USA,3sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2012,1150,2012,women_200m
21,4835,22.85,1.7,Tameka WILLIAMS,31 AUG 1989,SKN,3,"Moratalaz, Madrid (ESP)",07 JUL 2012,1150,2012,women_200m
22,4835,22.85,0.3,Kai SELVON,13 APR 1992,TTO,4h4,"Olympic Stadium, London (GBR)",06 AUG 2012,1150,2012,women_200m
23,4835,22.85,-0.1,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,3,Linz (AUT),20 AUG 2012,1150,2012,women_200m
24,4835,22.85,-0.7,Libania GRENOT,12 JUL 1983,ITA,3,Padova (ITA),02 SEP 2012,1154,2012,women_200m
25,4835,22.85,1.1,Kamaria BROWN,21 DEC 1992,USA,1f2,"Tempe, AZ (USA)",16 MAR 2013,1150,2013,women_200m
26,4835,22.85,1.8,Octavious FREEMAN,20 APR 1992,USA,1f1,"Gainesville, FL (USA)",05 APR 2013,1150,2013,women_200m
27,4835,22.85,1.3,Candyce MCGRONE,24 MAR 1989,USA,2,"Walnut, CA (USA)",20 APR 2013,1150,2013,women_200m
28,4835,22.85,0.3,LaShauntea MOORE,31 JUL 1983,USA,2,Beijing (CHN),21 MAY 2013,1150,2013,women_200m
